Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
2-PHOSPHONOBUTYRIC ACID,4378-40-9,168.085,U.S. EPA CompTox Dashboard,1.61E-07,U.S. EPA CompTox Dashboard,0.9,OPERA (0.59),0,OPERA (0.6),#NV,ACD/Labs GALAS,12.3,ACD/Labs GALAS,-1.5,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,2'-Azobis(2-methylbutanenitrile)",13472-08-7,192.266,U.S. EPA CompTox Dashboard,6.15E-08,Wambaugh 2014,0.07,OPERA (0.68),145.39,OPERA (0.34), -5.57; -6.58,Sipes 2017,None,Sipes 2017,2.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,2-Dimethylbutane",75-83-2,86.178,U.S. EPA CompTox Dashboard,1.03E-07,Wambaugh 2014,0.67,OPERA (0.52),4.03,OPERA (0.61),None,Sipes 2017,None,Sipes 2017,3.58,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Simvastatin,79902-63-9,418.574,U.S. EPA CompTox Dashboard,2.37E-07,Wambaugh 2014,0.00398,Wetmore 2015,24.3,Wetmore 2015,None,Sipes 2017,14.91,Strope 2018,4.6,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Spirodiclofen,148477-71-8,411.32,U.S. EPA CompTox Dashboard,1.28E-07,Wambaugh 2014,0.01,OPERA (0.74),42.73333333,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,5.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,2,3,3-Tetramethylpentane",7154-79-2,128.259,U.S. EPA CompTox Dashboard,3.75E-06,U.S. EPA CompTox Dashboard,0.38,OPERA (0.42),0.78,OPERA (0.73),#NV,ACD/Labs GALAS,12.3,ACD/Labs GALAS,4.81,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Pentane, 2,3,3-trimethyl-",560-21-4,114.232,U.S. EPA CompTox Dashboard,2.9E-06,U.S. EPA CompTox Dashboard,0.39,OPERA (0.43),0.79,OPERA (0.73),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.01,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,2-dimethylbutanamide",102014-33-5,115.176,U.S. EPA CompTox Dashboard,1.13E-06,U.S. EPA CompTox Dashboard,0.86,OPERA (0.69),3.06,OPERA (0.57),#NV,ACD/Labs GALAS,12.3,ACD/Labs GALAS,0.53,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,2-Dimethylbutanoic acid",595-37-9,116.16,U.S. EPA CompTox Dashboard,7.71E-08,Wambaugh 2014,0.86,OPERA (0.68),7.96,OPERA (0.67),None,Sipes 2017,5.03,Sipes 2017,1.47,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,4-Di-tert-pentylphenol",120-95-6,234.383,U.S. EPA CompTox Dashboard,7.09E-07,Wambaugh 2014,0.05,OPERA (0.76),14.27,OPERA (0.6),None,Sipes 2017,10.79,Sipes 2017,5.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2-(2-Hydroxy-3,5-di-tert-pentylphenyl)benzotriazole",25973-55-1,351.494,U.S. EPA CompTox Dashboard,1.029E-06,Wambaugh 2014,0.02,OPERA (0.76),16.21,OPERA (0.46),  0.66; -1.54,Sipes 2017,11.07,Sipes 2017,8.28,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,5-Bis(2-methylbutan-2-yl)benzene-1,4-diol",79-74-3,250.382,U.S. EPA CompTox Dashboard,1.92E-07,Wambaugh 2014,0.019836667,Wambaugh 2019,12.60666667,Wambaugh 2019,None,Sipes 2017,"10.34,12.16",Wambaugh 2019,5.08,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
p-Di-tert-amylbenzene,3373-10-02,218.384,U.S. EPA CompTox Dashboard,4.56E-06,U.S. EPA CompTox Dashboard,0.04,OPERA (0.73),12.32,OPERA (0.57),#NV,ACD/Labs GALAS,12.3,ACD/Labs GALAS,6.06,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-(tert-Pentyl)-cyclohexanone,16587-71-6,168.28,U.S. EPA CompTox Dashboard,1.23E-07,Wambaugh 2014,0.16,OPERA (0.54),11.55,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,3.01,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Methoxy-4-tert-pentylcyclohexane,199584-38-8,184.323,U.S. EPA CompTox Dashboard,1.14E-07,Wambaugh 2014,0.27,OPERA (0.5),11.87,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,4.38,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-(2-Methylbutan-2-yl)cyclohexanol,5349-51-9,170.296,U.S. EPA CompTox Dashboard,1.21E-07,Wambaugh 2014,0.41,OPERA (0.49),12.36,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,3.59,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-(2-Methylbutan-2-yl)cyclohexyl acetate,67874-72-0,212.333,U.S. EPA CompTox Dashboard,1.38E-07,Wambaugh 2014,0.05,OPERA (0.71),106.72,OPERA (0.33),None,Sipes 2017,None,Sipes 2017,4.49,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3,3-Dimethylpentane",562-49-2,100.205,U.S. EPA CompTox Dashboard,1.039E-06,Wambaugh 2014,0.55,OPERA (0.42),0.95,OPERA (0.72),None,Sipes 2017,None,Sipes 2017,4.11,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Heptane, 2,5,5-trimethyl-",1189-99-7,142.286,U.S. EPA CompTox Dashboard,3.68E-06,U.S. EPA CompTox Dashboard,0.09,OPERA (0.7),0.51,OPERA (0.75),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,5.17,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Methyl-2-butanol,75-85-4,88.15,U.S. EPA CompTox Dashboard,3.34E-08,Wambaugh 2014,0.84,OPERA (0.76),1.03,OPERA (0.62),None,Sipes 2017,None,Sipes 2017,1.04,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
tert-Amyl methyl ether,994-05-8,102.177,U.S. EPA CompTox Dashboard,1.6E-07,Wambaugh 2014,0.8097,Linakis 2020,10.6,Linakis 2020,None,Sipes 2017,None,Sipes 2017,1.76,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"1,1-Dimethylpropyl hydroperoxide",3425-61-4,104.149,U.S. EPA CompTox Dashboard,0.000135,U.S. EPA CompTox Dashboard,0.83,OPERA (0.73),8.58,OPERA (0.22),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Bisphenol B,77-40-7,242.318,U.S. EPA CompTox Dashboard,1.68E-07,Wambaugh 2014,0.01823,Wetmore 2015,35.66,Wetmore 2015,None,Sipes 2017,"9.77,10.38",Strope 2018,3.96,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
2-Ethyl-2-methylbutyric acid,19889-37-3,130.187,U.S. EPA CompTox Dashboard,7.78E-06,U.S. EPA CompTox Dashboard,0.68,OPERA (0.52),7.21,OPERA (0.61),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.01,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Isoxaben,82558-50-7,332.4,U.S. EPA CompTox Dashboard,1.8E-08,Wambaugh 2014,0.073266667,Wambaugh 2019,16.1,Wambaugh 2019,0.24,Wambaugh 2019,10.3,Wambaugh 2019,3.6,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3,7-Dimethyloctan-3-yl acetate",20780-48-7,200.322,U.S. EPA CompTox Dashboard,1.226E-06,Wambaugh 2014,0.05,OPERA (0.71),183.59,OPERA (0.4),None,Sipes 2017,None,Sipes 2017,4.41,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Amylocaine,644-26-8,235.327,U.S. EPA CompTox Dashboard,2.54E-06,U.S. EPA CompTox Dashboard,0.36,OPERA (0.59),3.78,OPERA (0.58),#NV,ACD/Labs GALAS,13.99,ACD/Labs GALAS,3.31,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.14,ACD/Labs GALAS
2-Amino-2-methyl-butyronitrile,4475-95-0,98.149,U.S. EPA CompTox Dashboard,6.22E-07,U.S. EPA CompTox Dashboard,0.75,OPERA (0.42),1.49,OPERA (0.52),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Zoxamide,156052-68-5,336.64,U.S. EPA CompTox Dashboard,2.11E-08,Wambaugh 2014,0.01,Wetmore 2012,4.19,Wetmore 2012,None,Sipes 2017,10.35,Sipes 2017,4.21,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Methyl-1-pentyn-3-ol,77-75-8,98.145,U.S. EPA CompTox Dashboard,7.67E-08,Wambaugh 2014,0.82,OPERA (0.72),5.51,OPERA (0.27),None,Sipes 2017,None,Sipes 2017,0.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3,6-Dimethyl-4-octyne-3,6-diol",78-66-0,170.252,U.S. EPA CompTox Dashboard,0.000154,U.S. EPA CompTox Dashboard,0.21,OPERA (0.48),14.53,OPERA (0.53),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.35,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Methyl-3-pentanol,77-74-7,102.177,U.S. EPA CompTox Dashboard,8.54E-06,U.S. EPA CompTox Dashboard,0.82,OPERA (0.74),3.09,OPERA (0.3),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.57,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3,7-Dimethyloct-6-en-3-ol",18479-51-1,156.269,U.S. EPA CompTox Dashboard,2.37E-08,Wambaugh 2014,0.27,OPERA (0.51),29.31,OPERA (0.27),None,Sipes 2017,None,Sipes 2017,3.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3,7-Dimethyloctanol-3",78-69-3,158.285,U.S. EPA CompTox Dashboard,2.488E-05,Wambaugh 2014,0.24,OPERA (0.5),19.23,OPERA (0.23),None,Sipes 2017,None,Sipes 2017,3.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Phthalofyne,131-67-9,246.262,U.S. EPA CompTox Dashboard,3.65E-06,U.S. EPA CompTox Dashboard,0.16,OPERA (0.7),0,OPERA (0.47),None,Sipes 2017,3.74,Sipes 2017,3.19,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
2-Butanone peroxide,1338-23-4,210.226,U.S. EPA CompTox Dashboard,6.68E-06,U.S. EPA CompTox Dashboard,0.86,OPERA (0.47),0,OPERA (0.55),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.65,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,2-Bis(tert-butylperoxy)butane",2167-23-9,234.336,U.S. EPA CompTox Dashboard,4.22E-06,U.S. EPA CompTox Dashboard,0.02,OPERA (0.73),26.27,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,5.08,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Sulfonethylmethane,76-20-0,242.35,U.S. EPA CompTox Dashboard,1.66E-07,Wambaugh 2014,0.7,OPERA (0.33),10.93,OPERA (0.29),None,Sipes 2017,None,Sipes 2017,0.35,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Eprinomectin B1a,133305-88-1,914.143,U.S. EPA CompTox Dashboard,5.71E-07,Wambaugh 2014,0.12,OPERA (0.66),15.38,OPERA (0.38),None,Sipes 2017,None,Sipes 2017,6.22,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Methylbut-1-ene,563-46-2,70.135,U.S. EPA CompTox Dashboard,4.65E-05,U.S. EPA CompTox Dashboard,0.64,OPERA (0.6),6.59,OPERA (0.56),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3,7-Dimethylnona-2,6-dienenitrile",61792-11-8,163.264,U.S. EPA CompTox Dashboard,1.49E-05,U.S. EPA CompTox Dashboard,0.06,OPERA (0.7),33.26,OPERA (0.45),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.9,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Butanone oxime,96-29-7,87.122,U.S. EPA CompTox Dashboard,3.13E-07,Wambaugh 2014,0.85,OPERA (0.72),2.96,OPERA (0.3),0.22,Sipes 2017,12.42,Sipes 2017,0.65,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Methyl ethyl ketone,78-93-3,72.107,U.S. EPA CompTox Dashboard,4.481E-05,Wambaugh 2014,0.8744,Linakis 2020,50.86,Linakis 2020,None,Sipes 2017,None,Sipes 2017,0.41,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Bromobutane,78-76-2,137.02,U.S. EPA CompTox Dashboard,8.02E-08,Wambaugh 2014,0.62,OPERA (0.46),7.62,OPERA (0.63),None,Sipes 2017,None,Sipes 2017,2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Methylbutane,78-78-4,72.151,U.S. EPA CompTox Dashboard,1.87E-05,U.S. EPA CompTox Dashboard,0.68,OPERA (0.53),4.23,OPERA (0.61),#NV,ACD/Labs GALAS,7.43,ACD/Labs GALAS,3.23,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Methyl 2-methylbutyrate,868-57-5,116.16,U.S. EPA CompTox Dashboard,1.38E-05,U.S. EPA CompTox Dashboard,0.71,OPERA (0.47),12.32,OPERA (0.23),None,Sipes 2017,None,Sipes 2017,1.67,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Methylbutyroylcarnitine,31023-25-3,245.319,U.S. EPA CompTox Dashboard,1.51E-06,U.S. EPA CompTox Dashboard,0.78,OPERA (0.45),17.16,OPERA (0.29),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-2.74,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
2-Phenylethyl 2-methylbutanoate,24817-51-4,206.285,U.S. EPA CompTox Dashboard,1.41E-07,Wambaugh 2014,0.13,OPERA (0.7),199.38,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,3.71,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Methyl-2-pentanone,565-61-7,100.161,U.S. EPA CompTox Dashboard,6.83E-08,Wambaugh 2014,0.83,OPERA (0.74),2.49,OPERA (0.38),None,Sipes 2017,None,Sipes 2017,1.25,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Pentane, 2,3-dimethyl-",565-59-3,100.205,U.S. EPA CompTox Dashboard,2.17E-06,U.S. EPA CompTox Dashboard,0.38,OPERA (0.46),0.78,OPERA (0.74),#NV,ACD/Labs GALAS,15,ACD/Labs GALAS,3.69,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3,4-Dimethylhexane",583-48-2,114.232,U.S. EPA CompTox Dashboard,2.11E-06,U.S. EPA CompTox Dashboard,0.2,OPERA (0.56),0.74,OPERA (0.76),#NV,ACD/Labs GALAS,13.88,ACD/Labs GALAS,4.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,5,6-Trimethyloctane",62016-14-2,156.313,U.S. EPA CompTox Dashboard,4.29E-06,U.S. EPA CompTox Dashboard,0.09,OPERA (0.72),0.5,OPERA (0.76),#NV,ACD/Labs GALAS,15.28,ACD/Labs GALAS,6.05,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Methylbutanoic acid,116-53-0,102.133,U.S. EPA CompTox Dashboard,1.49E-07,Wambaugh 2014,0.86,OPERA (0.7),7.74,OPERA (0.64),None,Sipes 2017,4.89,Sipes 2017,1.12,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
2-Methylbutanal,96-17-3,86.134,U.S. EPA CompTox Dashboard,2.75E-07,Wambaugh 2014,0.82,OPERA (0.73),4.33,OPERA (0.64),None,Sipes 2017,None,Sipes 2017,1.25,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butabarbital,125-40-6,212.249,U.S. EPA CompTox Dashboard,1.63E-07,U.S. EPA CompTox Dashboard,0.74,OPERA (0.94),6.84,OPERA (0.42),#NV,ACD/Labs GALAS,12.3,ACD/Labs GALAS,1.52,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.76,ACD/Labs GALAS
2-(Butan-2-yl)phenol,89-72-5,150.221,U.S. EPA CompTox Dashboard,7.82E-08,Wambaugh 2014,0.1,OPERA (0.78),49.51,OPERA (0.73),None,Sipes 2017,10.62,Sipes 2017,3.35,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dinoseb acetate,2813-95-8,282.252,U.S. EPA CompTox Dashboard,5.84E-06,U.S. EPA CompTox Dashboard,0.01,OPERA (0.74),76.6,OPERA (0.38),#NV,ACD/Labs GALAS,14.22,ACD/Labs GALAS,3.29,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"4-(Butan-2-yl)-2,6-di-tert-butylphenol",17540-75-9,262.437,U.S. EPA CompTox Dashboard,1.13E-07,Wambaugh 2014,0.04,OPERA (0.73),21.29,OPERA (0.6),None,Sipes 2017,11.14,Sipes 2017,6.73,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Binapacryl,485-31-4,322.317,U.S. EPA CompTox Dashboard,9.3E-08,Wambaugh 2014,0.12,OPERA (0.47),30.01,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,4.9,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-(2H-Benzotriazol-2-yl)-6-(butan-2-yl)-4-tert-butylphenol,36437-37-3,323.44,U.S. EPA CompTox Dashboard,2.53E-07,U.S. EPA CompTox Dashboard,0.02,OPERA (0.74),9.81,OPERA (0.47),  0.40; -2.01,Sipes 2017,10.91,Sipes 2017,7.4,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
4-(Butan-2-yl)phenol,99-71-8,150.221,U.S. EPA CompTox Dashboard,2.97E-07,Wambaugh 2014,0.0608,Wetmore 2015,19.03,Wetmore 2015,None,Sipes 2017,10.27,Strope 2018,3.35,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,6-Di(butan-2-yl)phenol",5510-99-6,206.329,U.S. EPA CompTox Dashboard,2.31E-07,Wambaugh 2014,0.01,OPERA (0.81),38.43,OPERA (0.54),None,Sipes 2017,11.17,Sipes 2017,5.22,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
sec-Butylbenzene,135-98-8,134.222,U.S. EPA CompTox Dashboard,1.258E-06,Wambaugh 2014,0.09,OPERA (0.76),8.67,OPERA (0.63),None,Sipes 2017,None,Sipes 2017,4.1,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Fenobucarb,3766-81-2,207.273,U.S. EPA CompTox Dashboard,1.15E-06,U.S. EPA CompTox Dashboard,0.2,OPERA (0.65),21.97,OPERA (0.6),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.04,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-sec-Butyl-2-methoxypyrazine,24168-70-5,166.224,U.S. EPA CompTox Dashboard,1.99E-08,Wambaugh 2014,0.69,OPERA (0.37),28.85,OPERA (0.45),  2.26; -3.93,Sipes 2017,None,Sipes 2017,2.62,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-sec-Butylcyclohexan-1-one,14765-30-1,154.253,U.S. EPA CompTox Dashboard,1.78E-07,Wambaugh 2014,0.18,OPERA (0.5),20.63,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,2.66,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2-(2-Butyl)-4,5-dimethyl-3-thiazoline",65894-82-8,171.3,U.S. EPA CompTox Dashboard,1.14E-07,Wambaugh 2014,0.06,OPERA (0.73),4.86,OPERA (0.6),5.9,Sipes 2017,None,Sipes 2017,3.95,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.94,ACD/Labs GALAS
3-Methylpentane,96-14-0,86.178,U.S. EPA CompTox Dashboard,1.66E-07,U.S. EPA CompTox Dashboard,0.47,OPERA (0.45),0.95,OPERA (0.73),2.62,ACD/Labs GALAS,13.05,ACD/Labs GALAS,3.76,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
5-Methyl-3-heptanone,541-85-5,128.215,U.S. EPA CompTox Dashboard,1.31E-05,U.S. EPA CompTox Dashboard,0.2,OPERA (0.51),13.71,OPERA (0.22),None,Sipes 2017,None,Sipes 2017,2.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,4-Dimethylhexane",589-43-5,114.232,U.S. EPA CompTox Dashboard,3.65E-06,U.S. EPA CompTox Dashboard,0.2,OPERA (0.56),0.68,OPERA (0.76),#NV,ACD/Labs GALAS,14.04,ACD/Labs GALAS,4.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,4,6-Trimethyloctane",62016-37-9,156.313,U.S. EPA CompTox Dashboard,6.35E-06,U.S. EPA CompTox Dashboard,0.09,OPERA (0.72),0.5,OPERA (0.76),#NV,ACD/Labs GALAS,14.64,ACD/Labs GALAS,6.05,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,6,8-Trimethyldecane",62108-26-3,184.367,U.S. EPA CompTox Dashboard,4.78E-06,U.S. EPA CompTox Dashboard,0.06,OPERA (0.72),1.13,OPERA (0.46),#NV,ACD/Labs GALAS,14.82,ACD/Labs GALAS,7.11,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Pentanoic acid, 3-methyl-",105-43-1,116.16,U.S. EPA CompTox Dashboard,2.01E-06,U.S. EPA CompTox Dashboard,0.66,OPERA (0.45),5.48,OPERA (0.58),#NV,ACD/Labs GALAS,15.18,ACD/Labs GALAS,1.46,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"3,6-Dimethyl-3-octanol",151-19-9,158.285,U.S. EPA CompTox Dashboard,2.63E-06,U.S. EPA CompTox Dashboard,0.25,OPERA (0.5),29.51,OPERA (0.26),#NV,ACD/Labs GALAS,9.97,ACD/Labs GALAS,3.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,7,10-Trimethyldodecane",74645-98-0,212.421,U.S. EPA CompTox Dashboard,4.89E-06,U.S. EPA CompTox Dashboard,0.06,OPERA (0.71),2.02,OPERA (0.42),#NV,ACD/Labs GALAS,3.25,ACD/Labs GALAS,8.17,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Methyl-2-(3-methylpentyl)cyclopropane,62238-07-7,140.27,U.S. EPA CompTox Dashboard,4.83E-06,U.S. EPA CompTox Dashboard,0.2,OPERA (0.53),0.85,OPERA (0.63),#NV,ACD/Labs GALAS,15.59,ACD/Labs GALAS,4.58,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,2,6-Trimethyloctane",62016-28-8,156.313,U.S. EPA CompTox Dashboard,4.26E-06,U.S. EPA CompTox Dashboard,0.06,OPERA (0.73),0.52,OPERA (0.75),#NV,ACD/Labs GALAS,15.16,ACD/Labs GALAS,6.05,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,6-Dimethyloctan-2-ol",18479-57-7,158.285,U.S. EPA CompTox Dashboard,4.02E-06,Wambaugh 2014,0.24,OPERA (0.5),19.51,OPERA (0.23),None,Sipes 2017,None,Sipes 2017,3.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,6-Dimethyloctane",2051-30-1,142.286,U.S. EPA CompTox Dashboard,5.89E-06,U.S. EPA CompTox Dashboard,0.1,OPERA (0.73),0.51,OPERA (0.77),#NV,ACD/Labs GALAS,14.82,ACD/Labs GALAS,5.7,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,6,10-Trimethyldodecane",3891-98-3,212.421,U.S. EPA CompTox Dashboard,1.66E-05,U.S. EPA CompTox Dashboard,0.06,OPERA (0.71),1.3,OPERA (0.44),#NV,ACD/Labs GALAS,14.89,ACD/Labs GALAS,8.17,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,6,10,14-Tetramethylhexadecane",638-36-8,282.556,U.S. EPA CompTox Dashboard,3.9E-06,U.S. EPA CompTox Dashboard,0.1,OPERA (0.56),2.84,OPERA (0.4),#NV,ACD/Labs GALAS,3.62,ACD/Labs GALAS,10.65,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
(Z)-14-Methylhexadec-8-enal,60609-53-2,252.442,U.S. EPA CompTox Dashboard,3.3E-06,U.S. EPA CompTox Dashboard,0.03,OPERA (0.73),120.12,OPERA (0.35),#NV,ACD/Labs GALAS,9.9,ACD/Labs GALAS,6.38,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Heptadecane, 2,6,10,15-tetramethyl",54833-48-6,296.583,U.S. EPA CompTox Dashboard,7.04E-06,U.S. EPA CompTox Dashboard,0.1,OPERA (0.56),2.99,OPERA (0.39),#NV,ACD/Labs GALAS,14.89,ACD/Labs GALAS,9.67,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,9-Dimethylundecane",17301-26-7,184.367,U.S. EPA CompTox Dashboard,7.14E-06,U.S. EPA CompTox Dashboard,0.06,OPERA (0.74),1.04,OPERA (0.47),4.9,ACD/Labs GALAS,13.42,ACD/Labs GALAS,7.3,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
